komentar,sentimen
Exijo la trilogía del Gta liberty city stories y del gta vice city stories the trilogy definitive edition,exijo la trilog a del gta liberty city stories y del gta vice city stories the trilogy,Netral
Bro please add police academies,bro please a police,Netral
🔥time is now,time is,Negatif
HERE WE GO,here e,Netral
Dear Rockstar!! All players around the world are waiting for news about GTA 6. Give us what we want!!,deaockstar a players around the orld are aiting for nes about gta give us hat e ant,Positif
GTA VI TR2,gta vi,Netral
Moon Theory ❌😳,mn theory,Netral
Drop trailer 2 come on,drop trailer come,Positif
@emre.tunc90s vielleicht kommt der Trailer jetzt am 05.12?👀,vieeicht kot der trailer jetzt am,Positif
Cuando saldrá el thriller 2?,cuando saldr el thrier,Netral
We need the 2 !!,e nd the,Netral
"Sem querer pressionar, mas onde porra tá o trailer 2?",sem qu mas onde poa t o trailer,Positif
trailer 2 is needed????,trailer is nded,Positif
Boycott gta V to get gta 6.,boyco gta v to get gta,Netral
Exijo red dead redemption 3,exijo reead redemption,Netral
"LOOK AT THE PICTURE, the JOINT SAYS 12.3",lk ahe the joint says,Netral
It says 1 2 . 3 under the diamonds,it says under the,Netral
E ficou por isso mesmo ne,e ficou por io mesmo,Netral
Waiting for the 2,aiting for the,Positif
Aguardando plenamente o trailer 2,aguardando plenamente o trailer,Positif
"1 ano do anúncio, e o trailer 2 nada ainda?",ano do an ncio o trailer nadinda,Netral
Rockstar keep archiving their other posts down and it always end up resulting in rockstar having 18 posts so trailer 2 will probably be on 18th December or they’ll probably surprise us and release gta 6 a week before Christmas in 2024,rockstar kp archiving their other posts don and it alays end up resulting in rockstar having posto trailer i probably be on th december or they probably surprise us and release gta a k before christmas in,Positif
Why you don’t give something why you guys hate 2024,hou don t give something hou guys hate,Negatif
We love you rockstar games but please 2024 need the trailer 2 to have a chance of being good year for gaming,e love you rockstar games but please nd the trailer to have a chance of beind year for,Positif
Lol we’re waiting,lol e re,Positif
gta6 trailer 2,gta trailer,Positif
Dear @rockstargames please release the second trailer and a release date for this master peace you are creating you guys killing us all with the anticipation 🤣🤣,dear please release the second trailer and a release date for this master peace you are creating you guys kiing us a ie anticipation,Positif
Almost a year now and you still haven’t released trailer 2 🤡,almost a year no and you sti haven t released trailer,Netral
1 añoooo jajajajjajaja habra cambiado todo el juego ya otra vez jajajaja,a aja habra cambiado todo el juego otra vez,Netral
Ight man what yall got going on it’s been a year since we heard anything,ight man hat got going on it s bn a year since e heard,Netral
A year already,a year,Netral
One year man it’s just like yesterday when the first trailer 1 was come out 😔,one year man it s just yesterday hen the firsrailer as come out,Negatif
Past one year rockstar . Do something man,past one do something,Netral
Già è passato 1 anno.... Dai che vogliamo il trailer 2!!!🙌,gi paato dai che vogliamo il trailer,Netral
Happy First Year 👏,hay first year,Netral
1 year we waiting trailer 2 🔥,year e aiting trailer,Positif
Release trailer 2,release trailer,Positif
A year ago dam wtf time flies fast It felt months aho,a year ago dam tf time flies fast it felt months,Netral
Dear Rockstar!!! Players all over the world are waiting for any news on GTA 6. Give us what we deserve!!!,deaockstar players a over the orld are aiting for any nes on gta give us hat e deserve,Positif
fresh ahh comments,fresh a,Netral
When can we watch Trailer 2??!!,hen can e atch trailer,Netral
Cmon rockstar it’s been an year,cmon rockstar it s bn an,Netral
Bro it has been a year since the first trailer are they now gonna say 2026??????????,bro it has bn a year since the firsrailer are they no goa say,Netral
All these GTA 6 crybabies in here💀,a these gta crybabies in here,Netral
It's been a year... A FCKN YEAR,it s bn a a fckn,Netral
Saquennn el otro yaaaa está bueno!!!,saquen el otro y est bueno,Negatif
Pundaigala trailer 2 vittu tholaingada 🙂 mudiyala 🤧,pundaigala trailer viu tholaingada mudiyala,Positif
This game better have hellcats gold silver diamond grills best story mode ever best online best heists no Maude Oh and also it better have curly hair and good dreads.,this game beer have hecats gold silver diamond gris beory modver best online best heists no maude and also it beer have curly hair and,Netral
The awaited dream ❤️❤️,the aaiteream,Positif
Parei de jogar gtaV por falta de novidades assim quando lançar gtaVI volto a jogar 😂,pare de jogar gtav por falta de novidades aim quando lan ar gtavi volto a jogar,Negatif
Ne zaman çıkıyor,ne zaman ıkıyor,Netral
OH MY GOOD😍😍,my gd,Positif
"In GTA Online I was doing murder orders over the phone and when I was doing an order to set the car on fire, the game told me that the bonus was a success and the police started chasing me and I didn't escape them in time and I didn't get the bonus, the rest of the 49 orders I had with a bonus and I didn't have one achievements from this dlc unfortunately I don't record games and I don't know how to prove it but I'm serious because it was some kind of mistake",in gta online i as doing murder orders over the phone and hen i as doing an order to sehe car on the game told me thahe bonus as a sue and the police started chasing me and i didn t escape them in time and i didn t gehe the rest of the orders i had ith a bonus and i didn t have one achievements from this dlc unfortunately i don t record games and i don t kno ho to prove it but i m serious because it aome kind of,Negatif
"We need California love-2pac,DrDre Roger track on the radio!!!",e nd california love roger track on the radio,Netral
"Well, this didn't age well.",this didn t age,Netral
"Don't let it be 2026, otherwise you will alienate people from you, we will hate you, this game will be released in 2025 as you promised. @rockstargames",don t let it be otherise you i alienate people from e i hate this game i be released in as you,Netral
Rdr3 when?,rdr hen,Negatif
Please have Turkish language support 🙏,please have turkish language suort,Positif
The worlds worst game developers are making the worlds Worst game should be sun,the orlds orst game developers are making the orlds orst game should be,Negatif
I know rockstar won't read this but... One thing i want to see in gta 6 is the same mafia 2 police system... for example when you crash your car with a police car in gta 5 they try to kill you and in mafia 2 they try to arrest you,i kno rockstar on t read this one thing i ano s in gta is the same mafia police for example hen you crash your car ith a police car in gta they try to ki you and in mafia they try to aest,Negatif
"Da wir ja jetzt so krass weit mit der künstlichen intelligenz gekommen sind, grad auch was das Thema übersetzten angeht... Könntet ihr nicht GTA VI in verschiedenen Sprach Modellen anbieten?? Man lässt die englische original Fassung einfach über eine AI übersetzen und kann GTA in seiner Sprache erleben??? ♥️",da ir ja jetzt so kra eit mit der k nstlichen inteigenz gekoen grad auch as das thema bersetzten k tet ihr nicht gta vn verschied sprach modeen anbieten man l t dinglische original faung einfach ber eine ai bersetzen und ka gta in seiner sprachrleben,Netral
Cria um GTA San Andreas 2,cria um gta sdreas,Netral
I waiting for this ❤❤❤❤❤,i aiting for this,Positif
Please come with Turkish language Gta6,please come ith turkish language,Netral
Will the game be released on 3ds?,i the game be released on ds,Positif
LUCIA JASON 😍❤️GTA VI ❤️❤️ ROCKSTAR GAMES IS THE KING THIS IS amazing ❤️❤️ GTA ❤️,lucia jason gta vi rockstar games is the king th amazing gta,Positif
LUCIA ❤️JASON 👏,lucia jason,Positif
🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥 I can't wait,i can t,Netral
Y aquí también,y aqu tambi n,Netral
I will be there,i i be,Netral
Bonnie e clyde é casal🔥🔥🔥🤤🤤,boi clyde casal,Netral
1 billion dollars worth of sales in just a day😂,biion doars orth of sales in just a day,Netral
"hi rockstar games i really liked the game how it looks but the problem is that it comes out 2025 is not that far i give you all the time you need to release the perfect game but i look at the statistics that in the last 5 months almost no one wants to play the game 30% want to play it the other 70% don't want it and only because of the release date of the game, I'm not hating you, but I'm just sharing my personal opinion and in my opinion the game should have been released at least in the fall of 2024, but I still say I liked the game and I can't wait to see it again soon",hi rockstar games i reay d the game ho it lks buhe problem is that it comes out is nohat far i give you a the time you nd to release the perfect game but i lk ahe statistics that in the last months almost nne ants to play the game ano play ihe other don t ant it and only because of the release date of the i m not hating but i m just sharing my personal opinion and in my opinion the game should have bn released at least in the fa of but i sti say i d the game and i can t aio s it again,Netral
Trailer 2 cd??????,trailer cd,Positif
Drop them pc specs,drop them pc,Netral
"All peple likes games,but it is a reyar one",a peple it is a reyar,Netral
Hopefully & all the characters of the 5 gta will come out,hopefuy a the characters of the gta i come,Netral
"Hey rockstar, i hear ur doing some work in the gta6 project i would like to ask if the game had more activities like on red dead redemption 2... but my biggest Ask is to add a special cutscene every time you almost crash or swipe past a vehicle:: you drive past the train in time and a slow motion cut scene and it turns cartoony for 2 seconds and says ""Near miss"". And a easter egg from the film back to the future 1.?",hey i hear ur doing some ork in the gta project i ould to ask if the game had more activities on reead redemption but my biest ask is to a a special cutscenvery time you almost crash or sipe past a vehicle you drive pashe tra time and a slo motion cut scene and iurns cartny for seconds and near and a easter e from the film back to the future,Netral
BRUH THAT SHII LOOK SO GOOD CUH DROP THAT SHI NOW TWIN🔥🔥😂,bruh that sh lk so gd cuh drop that shi no tin,Positif
Lo sé dani lo se,lo s dan lo,Netral
I like this 🧱,i this,Netral
"Remember to Put Nicki Minaj Music on Radio Too, Trust me all THE BARBZ will be shocked and will be Buying release Day💯🙏🏽🦄",rber to put nicki minaj music on radio trust me a the barbz i be shocked and i be buying release day,Positif
I have a very money making idea for gta game how can i pitch it,i have a very money making idea for gta game ho can i pitch,Netral
GTA6 ONLINE CHARACTERS BETTER HAVE CUT SCENES WITH JASON AND LUCIA WITHIN MULTIPLAYER SO THAT GTA STORY LINE IS BASICALLY AROUND YOUR ONLINE ACCOUNT,gta online characters beer have cut scenes ith jason and lucia ithin multiplayer so that gta story line is basicay around your online,Netral
